kode_provinsi,provinsi,kode_pemda,pemda,tahun,bansos,belanja_modal,belanja_pegawai,pad,pajak_daerah,retribusi,total_belanja,total_pendapatan,transfer,rasio_pad,rasio_transfer,rasio_pegawai,rasio_modal,rasio_bansos,serapan,growth_pad,growth_belanja,growth_pendapatan,fiscal_score,cluster,pca1,pca2,anomaly,cluster_label
29,Bangka Belitung,05,Kab. Bangka Tengah,2021,1840925500.0,115532078530.19,342435763482.0,83318022923.18,45966825494.0,4638823701.0,872571265093.19,896005215605.55,733610334012.0,0.09298832358567345,0.818756767521941,0.39244446520414367,0.13240417505365737,0.0021097709420942147,0.9738461896156233,0.0,0.0,0.0,0.2258486633444032,0,-0.43969400832971656,-0.49193748170180696,1,Fiskal Menengah Tinggi
29,Bangka Belitung,05,Kab. Bangka Tengah,2022,5321861416.0,122025814885.0,358113004628.0,97322884874.0,50547277281.0,6143289129.0,897112819106.0,934894790238.0,770596570499.0,0.10410036069323278,0.8242602039774187,0.39918391199099174,0.1360205899260278,0.005932209754067939,0.9595869272922339,0.16808922558967376,0.028125558329254785,0.04340329046652602,0.22773741083528404,0,-0.5314685564876936,-0.563149756777127,1,Fiskal Menengah Tinggi
29,Bangka Belitung,05,Kab. Bangka Tengah,2023,7157385000.0,130460745731.0,344463396201.0,99974510402.0,49833779439.0,7212126106.0,950419757593.0,912208106681.0,735595219212.0,0.10959616524978019,0.8063896975092749,0.36243290761692076,0.1372664495752912,0.0075307620057547455,1.041889181462145,0.02724565277152391,0.05942055152006631,-0.024266563247426598,0.24172794185177843,3,0.06910146736355294,0.3093940836905636,1,Fiskal Menengah Rendah
29,Bangka Belitung,05,Kab. Bangka Tengah,2024,3624658800.0,93817054382.05,414476091686.95,100175470634.33,56520370609.0,31570144119.48,963324489361.0,909272981836.33,747582215709.0,0.11017095265716549,0.8221757718998909,0.4302559482961796,0.09738883981272133,0.0037626561351142827,1.0594447526808835,0.002010114693454801,0.013577928767686931,-0.003217604429486265,0.21644246875834355,0,-0.8261146637270762,0.5089421165466612,1,Fiskal Menengah Tinggi
29,Bangka Belitung,05,Kab. Bangka Tengah,2025,1058969860.0,72462140642.0,427086418705.4,137513402956.22,72878579037.0,51627587550.49,875975799068.4,907250952349.22,726377931611.0,0.1515715167894232,0.8006361742912802,0.48755504336947014,0.0827216239524693,0.0012089031011201612,0.9655275608145281,0.37272529977108326,-0.09067421336972425,-0.0022237870557050288,0.2219243034200779,0,-1.8514814028297242,-0.16994143579914608,1,Fiskal Menengah Tinggi
13,Jawa Timur,01,Kab. Bangkalan,2021,5832937577.0,226715282463.0,899180424175.0,271656642591.0,48377072078.0,13359256496.0,2211221771304.0,2275095391762.0,1707399447633.0,0.11940450654273853,0.7504737840072127,0.4066441619940889,0.10252941853466901,0.002637879950666461,0.9719248605182521,0.0,0.0,0.0,0.24335018259627134,0,-0.8979821819596845,-0.33704132551175486,1,Fiskal Menengah Tinggi
13,Jawa Timur,01,Kab. Bangkalan,2022,30519120287.0,220718172066.33,903828576072.51,281897411487.8,56255130523.53,12077921348.5,2264589338633.3,2220215269051.8,1788051067687.0,0.12696850409833976,0.8053503156253102,0.3991136762208634,0.09746498771363792,0.013476668712667597,1.0199863815910297,0.037697472806576204,0.024134877840782165,-0.024122119410429188,0.23277165982664627,0,-0.7282460463218965,0.20453675208795866,1,Fiskal Menengah Tinggi
13,Jawa Timur,01,Kab. Bangkalan,2023,4147768000.0,228383362581.26,812063047961.27,353692219635.38,60386791962.27,12290411309.57,2042554668832.7,2097426680065.4,1600855723564.0,0.16863150592913767,0.7632475255411949,0.39757224634058685,0.1118126070582869,0.0020306766145801176,0.9738384126824452,0.2546841695660167,-0.0980463283177867,-0.05530481241976137,0.2610572178334395,0,-0.8120427957129109,0.005147803020156739,1,Fiskal Menengah Tinggi
13,Jawa Timur,01,Kab. Bangkalan,2024,1923403000.0,294682653774.45,994508282507.14,414115920457.95,71754744302.0,331438544656.26,2459309778126.5,2421925581384.0,1834640438726.0,0.17098622833047789,0.7575131345190226,0.40438512112319397,0.11982331644244468,0.0007820905756188416,1.0154357330505328,0.17083695220907202,0.20403620801590172,0.15471287001483258,0.2635545353497618,0,-0.6525915746281784,0.45152592841860273,1,Fiskal Menengah Tinggi
13,Jawa Timur,01,Kab. Bangkalan,2025,2408712600.0,286624180371.25,1028341552009.9,507520622633.37,117780101208.99,374862408032.64,2385705791367.2,2399367261261.4,1764665248856.0,0.21152269218116918,0.7354710874600652,0.43104290383625976,0.12014229977913221,0.0010096436068169224,0.994306219762698,0.22555206781745651,-0.029928717160377927,-0.009314208618131592,0.2779850495869674,0,-1.0201365556904156,0.5087206426343321,1,Fiskal Menengah Tinggi
22,Bali,02,Kab. Bangli,2021,238566000.0,183280091201.59,504713738147.38,163537095767.82,23318329220.5,8281617975.0,1108810931922.9,1150283515663.6,857733621031.0,0.14217112002467952,0.7456714882471147,0.45518467000691043,0.16529426787283352,0.00021515480514453338,0.9639457723457207,0.0,0.0,0.0,0.25536393952004377,0,-0.7784791854392166,-0.24820959926464925,1,Fiskal Menengah Tinggi
22,Bali,02,Kab. Bangli,2022,253030998.0,293929282841.81,515867247541.0,144005842858.5,36707060479.07,36328299166.2,1239853052692.6,1105440499468.5,805596462637.0,0.13027009859665767,0.7287560597104357,0.41607128072208754,0.2370678381631445,0.00020408144130507264,1.121591848035897,-0.11943010738706827,0.11818256566288254,-0.03898431611378006,0.2776048310694327,3,0.8078008938632784,1.2922600121884291,1,Fiskal Menengah Rendah
22,Bali,02,Kab. Bangli,2023,183661000.0,202782016760.02,498581853702.0,201514869291.2,47825044951.0,51903854450.0,1204697521707.4,1185619418863.6,855633822614.0,0.1699658980656282,0.7216766265806555,0.4138647624968692,0.1683260844370461,0.00015245403654495776,1.0160912536858462,0.3993520352449056,-0.02835459485206948,0.07253119406575959,0.27996117206584137,3,-0.26624419501236607,0.4597226897885286,1,Fiskal Menengah Rendah
22,Bali,02,Kab. Bangli,2024,250000000.0,177103414966.33,571014259148.2,223329854770.33,55669213782.0,155212670983.24,1318951209868.1,1332186446451.3,813642953312.0,0.16764159053354707,0.6107575673655856,0.43293053971670675,0.13427594109720023,0.0001895445397294119,0.9900650268448112,0.10825496677173785,0.09484014543233243,0.12362063682136926,0.2962542451214438,0,-0.8392750332531723,0.17832217555326985,1,Fiskal Menengah Tinggi
22,Bali,02,Kab. Bangli,2025,283600000.0,145111231273.6,532821688339.95,224744569831.31,82809302310.0,117128022227.82,1107756447672.1,958008517098.6,584443766381.0,0.23459558638577205,0.6100611382360477,0.48099172833491566,0.13099560971055024,0.0002560129535657161,1.1563116902415678,0.006334643715390831,-0.1601232559748137,-0.28087504594378765,0.3095939469511352,3,-0.8160530416643631,2.3432005513389833,1,Fiskal Menengah Rendah
16,Kalimantan Selatan,01,Kab. Banjar,2021,4133627390.0,181251166021.0,741214749545.0,217359726434.0,81008710888.0,5921675670.0,1732416551956.0,1696983324875.0,1321807957758.0,0.12808595302491305,0.778916291269606,0.42785018921005175,0.10462331695939801,0.002386047042400335,1.0208801268472159,0.0,0.0,0.0,0.23545563629118732,0,-0.9024348445896466,0.23019236900810477,1,Fiskal Menengah Tinggi
16,Kalimantan Selatan,01,Kab. Banjar,2022,10667986500.0,197477491062.57,764955869085.0,190206333244.77,93731388091.0,6599136034.0,1853382074039.6,2138112511477.8,1763188592633.0,0.08895992714307864,0.8246472452538693,0.4127351180308522,0.10654980094425508,0.005755956448174897,0.8668309380775276,-0.12492375489566587,0.0698247323641783,0.25994904023897436,0.21373709976929076,0,-1.2241110467831782,-1.6166127996517223,1,Fiskal Menengah Tinggi
16,Kalimantan Selatan,01,Kab. Banjar,2023,4956455329.0,364244331791.96,753732238936.0,237729066176.41,101407987616.0,7726220242.0,2109326024788.0,2251579875956.4,1805385947834.0,0.10558322567856057,0.8018307354373245,0.35733320979233385,0.17268280365931993,0.002349781527726684,0.9368204287631702,0.24984832061551088,0.1380956222321439,0.05306893995029971,0.24956636390156228,3,0.09112878784860999,-0.7956257969569006,1,Fiskal Menengah Rendah
